Team,Name,Conference,Division,Season End,Season Type,Cumulative Games,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2
PHI,Flyers,Eastern,Metropolitan,2018,Regular,60,72,48.82,49.23,49.63,40,8,12,58,29,21,54,54,46,52.46,32,29,57.69,15,11,58.1,104,75,54.16,228,193,49.96,614,615,48.43,246,262,44.22,111,140,48.68,37,39,51.67,93,87,49.21,282,291,41.67,90,126,39.18,38,59,57.3,51,38,52.99,133,118,48.43,308,328,36.43,102,178,42.5,51,69
PIT,Penguins,Eastern,Metropolitan,2018,Regular,60,72,52.13,52.59,53.28,50,12,12,50.88,29,28,50.48,53,52,54.39,31,26,60.71,17,11,54.72,145,120,57.88,279,203,56,607,477,47.71,250,274,54.01,128,109,51.82,57,53,56.4,97,75,52.79,227,203,50.77,99,96,60.19,65,43,60.43,84,55,59.21,135,93,52.12,271,249,45.28,120,145,41.73,53,74
SJS,Sharks,Western,Pacific,2018,Regular,60,74,52.45,52.87,52.94,53.85,14,12,53.45,31,27,43.43,43,56,49.09,27,28,60.71,17,11,62.26,99,60,53.32,313,274,52.52,573,518,47.15,232,260,39.29,121,187,53.09,43,38,57.87,136,99,53.37,269,235,45.34,107,129,52.9,73,65,61.9,65,40,54.92,173,142,50.29,341,337,42.49,133,180,43.72,80,103
STL,Blues,Western,Central,2018,Regular,60,72,51.85,53.31,52.92,30.43,7,16,32.43,12,25,56.63,47,36,51.06,24,23,52.38,11,10,59.03,170,118,52.62,251,226,53.75,545,469,47.08,274,308,46.63,90,103,63.73,65,37,56.45,105,81,56.5,226,174,43.62,106,137,42.17,35,48,54.14,72,61,53.79,149,128,49.58,294,299,45.77,157,186,44.35,51,64
TBL,Lightning,Eastern,Atlantic,2018,Regular,60,83,53.27,53.47,51.53,37.04,10,17,59.26,32,22,53.57,45,39,70,35,15,60,21,14,43.66,93,120,59.02,324,225,51.56,512,481,48.66,218,230,42.02,158,218,57.61,53,39,53.6,119,103,57.07,210,158,55.29,94,76,49.66,74,75,58.16,57,41,60.08,146,97,52.73,270,242,51.23,125,119,42.94,73,97
TOR,Maple Leafs,Eastern,Atlantic,2018,Regular,60,75,48.61,46.86,45.6,57.89,11,8,59.09,26,18,49.44,44,45,52.73,29,26,56.1,23,18,59.22,151,104,55.15,257,209,45.17,505,613,45.59,253,302,46.34,171,198,52.58,51,46,60.79,138,89,46.83,229,260,43.1,103,136,50.37,68,67,66.09,76,39,67.14,143,70,56.14,297,232,43.46,123,160,45.08,87,106
VAN,Canucks,Western,Pacific,2018,Regular,60,53,48.41,47.96,47.45,29.03,9,22,45.9,28,33,41.76,38,53,45.71,16,19,60,12,8,52.35,223,203,54.46,366,306,47.25,429,479,43.44,169,220,33.79,49,96,47.95,82,89,51.75,133,124,50.12,202,201,43.05,65,86,37.5,21,35,55.5,111,89,53.28,187,164,46.26,210,244,38.98,69,108,31.08,23,51
VGK,Golden Knights,Western,Pacific,2018,Regular,60,84,52.58,52.93,52.64,27.78,5,13,64.44,29,16,54.55,54,45,44.26,27,34,65.52,19,10,67.42,89,43,52.95,260,231,53.58,659,571,44.75,247,305,50.44,114,112,53.85,35,30,56.96,131,99,51.42,254,240,45.75,97,115,40,38,57,68.6,59,27,60.85,157,101,54.11,329,279,45.83,121,143,43.28,58,76
WPG,Jets,Western,Central,2018,Regular,60,79,50.63,51.08,51.24,45.45,5,6,54.55,24,20,60.71,51,33,61.4,35,22,50,17,17,58.79,117,82,60.92,212,136,51.09,491,470,50.7,325,316,52.56,164,148,56.76,42,32,54.79,80,66,48.16,196,211,54.61,166,138,57.14,76,57,68.75,55,25,56.9,99,75,52.22,271,248,49.54,160,163,41.36,67,95
WSH,Capitals,Eastern,Metropolitan,2018,Regular,60,75,47.36,45.94,45.44,45,9,11,57.78,26,19,56.86,58,44,55.36,31,25,54.84,17,14,57.86,81,59,51.44,179,169,46.38,467,540,45.34,248,299,39.88,136,205,44.83,26,32,51.98,105,97,50.78,261,253,41.67,125,175,46.24,80,93,64.71,55,30,58.85,123,86,48.11,254,274,44.72,144,178,39.29,77,119
