Conference,Division,Name,Playoffs,SeasonType,Team,Season End,Game,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2,Goal Differential Close,Fenwick Close Differential
0,0,5,0,0,15,2016,40,47,53.25,53.03,53.06,33.33,7,14,53.66,22,19,40.3,27,40,42.86,9,12,75,9,3,54.48,73,61,53.61,267,231,50.34,365,360,41.13,102,146,46.81,44,50,58.49,31,22,47.85,78,85,47.25,129,144,50,58,58,48.94,23,24,56.63,47,36,56.41,154,119,49.66,219,222,40.5,49,72,46.67,28,32,-14,-25
0,2,9,0,0,16,2016,40,45,47.53,48.24,48.06,27.78,5,13,32.14,9,19,48.94,23,24,37.5,9,15,100,8,0,52.05,76,70,53.11,145,128,47.05,295,332,35.92,102,182,30.77,32,72,60.56,43,28,50.93,55,53,52.02,129,119,44.88,57,70,37.04,20,34,51.52,34,32,52.55,72,65,39.3,123,190,35.25,49,90,28.07,16,41,-17,-101
1,1,22,1,0,17,2016,40,45,53.98,55.95,55.05,47.62,10,11,45.16,14,17,50,31,31,58.62,17,12,52.63,10,9,58.37,129,92,56.73,118,90,49.45,316,323,49.26,199,205,45.81,82,97,58.06,54,39,69.57,64,28,53.67,139,120,45,81,99,44.62,29,36,61.02,72,46,48.44,62,66,46.59,157,180,44.4,107,134,35.16,32,59,2,52
0,2,14,1,0,18,2016,40,49,48.8,48.46,48.7,50,5,5,61.11,22,14,52.86,37,33,45.16,14,17,69.23,9,4,68.48,63,29,47.06,176,198,47.99,383,415,43.73,129,166,47.47,47,52,60.53,23,15,57.69,90,66,51.34,172,163,45.83,55,65,39.29,11,17,64.91,37,20,53.39,126,110,46.82,228,259,34.9,52,97,27.27,15,40,14,-68
0,2,23,1,0,19,2016,40,48,48.29,48.34,47.94,50,7,7,50,13,13,60.29,41,27,44.12,15,19,47.06,8,9,59.04,49,34,54.86,158,130,47.47,375,415,42.56,186,251,40.4,61,90,64.29,27,15,53.4,55,48,48.4,181,193,40.89,92,133,44.44,28,35,64.18,43,24,63.04,87,51,43.92,195,249,35.46,89,162,37.04,30,51,9,-123
0,0,26,0,0,20,2016,40,44,45.47,44.45,43.61,65.22,15,8,37.21,16,27,50.91,28,27,51.85,14,13,53.33,8,7,50.66,116,113,51.94,201,186,45.41,302,363,41.7,108,151,39.8,39,59,62.65,52,31,51.41,91,86,50,133,133,50.85,60,58,31.58,12,26,60.78,62,40,58.29,116,83,48.25,179,192,41.56,64,90,33.33,23,46,-1,-82
0,2,12,1,0,21,2016,40,43,49.22,48.57,47.24,22.22,2,7,60.71,17,11,54,27,23,55,22,18,42.11,8,11,54.86,79,65,59.12,175,121,49.8,366,369,48.04,159,172,34.88,60,112,55.32,26,21,66.67,92,46,50.8,159,154,56.1,69,54,45.9,28,33,62.03,49,30,62.43,118,71,48.59,224,237,37.31,75,126,33.01,34,69,6,104
0,2,21,1,0,22,2016,40,43,51.12,50.63,51.28,47.06,8,9,57.69,15,11,63.16,36,21,58.54,24,17,65.52,19,10,72.18,96,37,53.76,200,172,52.8,339,303,56.62,201,154,55.6,129,103,73.47,36,13,66.67,88,44,50.19,129,128,52.38,66,60,44.16,34,43,70.83,51,21,63.47,106,61,56.01,191,150,50.77,99,96,45.31,58,70,34,162
1,3,27,1,0,23,2016,40,42,50.74,52.14,51.87,63.64,7,4,50,15,15,59.02,36,25,48.28,14,15,62.5,10,6,66.99,69,34,58.93,165,115,55.03,372,304,48.79,201,211,42.42,70,95,72.73,24,9,63.04,87,51,54.27,159,134,53.89,97,83,45.12,37,45,74.07,40,14,52.2,95,87,55.93,231,182,45.8,120,142,34.26,37,71,17,183
1,1,3,1,0,24,2016,40,50,52.33,52.45,52.81,42.86,6,8,60.87,14,9,51.85,28,26,65.63,21,11,56.52,13,10,69.57,64,28,43.8,106,136,51.3,394,374,47.19,151,169,46.77,87,99,79.55,35,9,55.14,59,48,50,146,146,43.09,53,70,47,47,53,76.92,40,12,54.4,68,57,48.19,186,200,42.65,58,78,42.73,47,63,18,-34
0,0,17,1,0,25,2016,40,42,51.36,50.99,50.89,23.08,3,10,52.17,12,11,60.66,37,24,53.66,22,19,54.55,12,10,65,39,21,58.26,127,91,51.79,318,296,45.92,231,272,40.85,67,97,53.85,21,18,52.69,49,44,53.39,134,117,48.99,97,101,41.94,26,36,66.67,32,16,64.42,67,37,61.09,190,121,41.81,97,135,41.38,24,34,12,35
0,0,18,0,0,26,2016,40,39,50.28,49.47,49.02,48.15,13,14,43.59,17,22,40,22,33,39.13,9,14,50,6,6,52.5,105,95,52.94,225,200,47.56,332,366,45.93,113,133,44,33,42,59.26,48,33,52,104,96,55.46,193,155,43.69,45,58,53.13,17,15,65.42,70,37,68.72,167,76,57.03,215,162,50.43,59,58,32.26,10,21,-22,4
1,3,6,0,0,27,2016,40,39,47.87,48.76,48.77,19.05,4,17,46.88,15,17,46.27,31,36,38.71,12,19,0,0,5,52.76,86,77,51.53,168,158,47.25,370,413,36.34,149,261,35.9,42,75,55.41,41,33,52.5,63,57,42.24,128,175,41.03,64,92,33.33,14,28,75.34,55,18,62.21,107,65,48.67,183,193,47.12,98,110,44.44,24,30,-32,-214
1,1,15,0,0,28,2016,40,40,50.59,50.51,48.89,47.37,9,10,54.55,18,15,40.63,26,38,50,13,13,54.55,6,5,59.88,97,65,56.85,224,170,49.22,347,358,50,133,133,46.88,45,51,62.86,44,26,42.93,79,105,54.09,152,129,47.37,54,60,40,14,21,65.12,56,30,56.15,146,114,48.92,182,190,48.51,65,69,27.5,11,29,-9,34
0,2,7,1,0,29,2016,40,63,50.18,50.36,50.4,40,8,12,64.52,20,11,45,27,33,62.5,15,9,55,11,9,57.04,77,58,54.66,170,141,50.43,409,402,55.28,136,110,48.62,53,56,47.06,32,36,46.72,57,65,52.38,165,150,47.78,43,47,40.38,21,31,62.71,37,22,53.76,93,80,53.21,257,226,38.32,64,103,42.62,26,35,7,65
1,3,10,1,0,0,2016,20,18,51.62,50.82,50,42.86,3,4,42.86,3,4,58.62,17,12,38.89,7,11,66.67,6,3,60.98,25,16,58.77,67,47,53.61,171,148,46.79,73,83,40,40,60,60,9,6,62.96,34,20,57.97,80,58,41.89,31,43,42.62,26,35,68.75,11,5,56.86,29,22,56.44,92,71,38.54,37,59,28.3,15,38,2,57
1,3,8,0,0,1,2016,20,21,46.94,46.38,45.51,0,0,5,0,0,3,47.62,10,11,62.5,10,6,60,3,2,49.09,54,56,51.28,60,57,47.67,164,180,43.61,58,75,34.78,24,45,65.31,32,17,54.17,26,22,43.42,66,86,31.88,22,47,24.24,8,25,52.17,24,22,40.63,26,38,46.03,87,102,44.94,40,49,45.71,16,19,-4,-71
0,0,4,0,0,2,2016,20,23,50.97,52.51,54.33,12.5,1,7,50,5,5,57.69,15,11,33.33,4,8,66.67,4,2,64.13,59,33,62.6,77,46,49.16,175,181,47.52,96,106,46.3,25,29,53.66,22,19,54.39,31,26,45.89,67,79,49.3,35,36,48.48,16,17,71.79,28,11,60,39,26,54.76,92,76,38.95,37,58,45.71,16,19,-4,7
0,0,25,0,0,3,2016,20,18,47.86,46.89,49.72,55.56,5,4,50,8,8,51.72,15,14,36.36,4,7,75,6,2,47.54,29,32,51.33,116,110,49.39,162,166,48.78,80,84,37.35,31,52,40.63,13,19,42.71,41,55,46.15,72,84,46.15,36,42,33.33,10,20,53.85,14,12,57.69,60,44,45.08,87,106,46.91,38,43,39.02,16,25,3,-34
0,2,13,0,0,4,2016,20,17,53.29,52.59,54.48,33.33,2,4,55,11,9,42.5,17,23,20,3,12,25,1,3,75,45,15,51.69,92,86,47.83,220,240,41.8,79,110,28,7,18,58.62,17,12,46.43,39,45,44.04,85,108,46.15,36,42,28.57,2,5,53.33,16,14,49.37,39,40,53.73,108,93,43.62,41,53,14.29,1,6,-17,-80
0,2,2,0,0,5,2016,20,14,48.37,48.58,50.24,55.56,5,4,52.63,10,9,36.67,11,19,64.29,9,5,75,6,2,60.34,35,23,54.86,158,130,50.95,161,155,39.73,29,44,39.68,25,38,47.06,16,18,40.4,40,59,49.22,63,65,50,15,15,53.85,14,12,53.33,24,21,56.88,91,69,46.55,81,93,46.15,18,21,31.43,11,24,2,-2
1,3,11,0,0,6,2016,20,15,47.95,49.59,50.41,14.29,1,6,62.5,10,6,43.75,14,18,33.33,5,10,70,7,3,50,30,30,58.96,102,71,49.65,142,144,45,63,77,43,43,57,51.85,14,13,61.67,37,23,36.76,50,86,35.38,23,42,40.48,17,25,71.43,15,6,61.39,62,39,43.6,75,97,46.15,42,49,38.6,22,35,-6,-26
1,1,1,1,0,7,2016,20,24,51.28,49.42,49.93,20,1,4,45.45,5,6,55.17,16,13,30.77,4,9,75,6,2,52,26,24,48.89,22,23,53.44,202,176,38.81,78,123,56.52,26,20,68.75,22,10,63.64,14,8,49.67,76,77,40,30,45,35.29,6,11,65.91,29,15,69.05,29,13,50.23,107,106,40,44,66,53.85,14,12,-2,-30
1,1,0,0,0,8,2016,20,15,45.14,47.18,47.44,41.67,5,7,50,10,10,41.94,13,18,35.71,5,9,50,4,4,50,31,31,50.65,78,76,51.64,205,192,39.26,64,99,42.86,42,56,51.52,17,16,52.46,32,29,48.53,66,70,25.81,16,46,48.84,21,22,55,22,18,55.21,53,43,46.04,93,109,39.36,37,57,26.67,12,33,-11,-51
1,1,28,1,0,9,2016,20,32,54.04,53.3,53.06,50,4,4,77.78,14,4,37.14,13,22,75,9,3,66.67,4,2,62.26,33,20,52.33,90,82,55.61,228,182,43.81,46,59,53.23,33,29,48.39,15,16,55.17,48,39,49.52,103,105,36.51,23,40,54.35,25,21,65.91,29,15,50.48,53,52,46.55,108,124,48.81,41,43,33.33,12,24,9,31
0,0,24,1,0,10,2016,20,22,46.99,45.69,45.71,53.33,8,7,25,4,12,37.5,9,15,72.73,8,3,40,4,6,48.7,56,59,59.31,121,83,51.18,152,145,49.31,71,73,40.96,34,49,57.45,27,20,49.37,39,40,52.03,64,59,61.97,44,27,48.28,14,15,55.36,31,25,61.96,57,35,65.45,72,38,44.87,35,43,33.33,16,32,-10,64
1,3,19,0,0,11,2016,20,15,47.49,46.38,47.08,60,6,4,37.5,6,10,50,15,15,50,7,7,60,3,2,57.14,52,39,57.79,89,65,47.13,164,184,42.42,70,95,33.33,14,28,35.56,16,29,54.79,40,33,46.67,70,80,43.28,29,38,11.11,2,16,61.4,35,22,57.69,60,44,49.49,98,100,39.18,38,59,35,7,13,-1,-33
0,0,20,1,0,12,2016,20,20,48.11,47.67,46.32,50,5,5,46.67,7,8,61.54,16,10,61.11,11,7,64.29,9,5,58.43,52,37,60.51,118,77,51.07,143,137,47.4,73,81,43.69,45,58,40.91,9,13,56.58,43,33,50,55,55,44.93,31,38,48.72,19,20,68.29,28,13,54.79,40,33,57.94,73,53,40.35,23,34,44.44,20,25,13,42
1,3,16,1,0,13,2016,20,24,56.49,56.3,54.28,42.86,3,4,71.43,10,4,50,16,16,60,12,8,50,7,7,53.85,14,12,66.19,92,47,57.19,187,140,51.22,84,80,50.54,47,46,81.82,9,2,70.27,52,22,61.31,103,65,53.06,52,46,56.6,30,23,73.91,17,6,70.59,60,25,58.08,97,70,40.2,41,61,48.33,29,31,9,170
1,1,29,1,0,14,2016,20,25,48.45,47.66,47.19,50,4,4,33.33,4,8,62.07,18,11,42.86,6,8,42.86,3,4,61.63,53,33,53.28,65,57,48.16,157,169,43.89,79,101,33.33,23,46,37.5,12,20,49.25,33,34,48.95,70,73,35.53,27,49,20.83,5,19,61.36,27,17,55.77,29,23,46.56,88,101,38.1,48,78,31.71,13,28,0,-52
0,0,5,0,0,15,2016,20,30,52.02,52.25,51.85,33.33,4,8,60,12,8,42.86,15,20,50,5,5,80,4,1,53.68,51,44,46.3,100,116,47.93,162,176,33.57,47,93,48,24,26,62.16,23,14,50.65,39,38,46.92,61,69,46.88,30,34,57.14,16,12,51.56,33,31,49.57,57,58,48.48,96,102,40.3,27,40,39.29,11,17,-2,-87
0,2,9,0,0,16,2016,20,23,48.03,49.24,48.96,41.67,5,7,30,6,14,37.5,9,15,50,4,4,100,5,0,47.76,32,35,55.91,71,56,45.11,143,174,32.97,30,61,32.81,21,43,61.11,22,14,49.25,33,34,54.62,65,54,44.19,19,24,37.93,11,18,63.64,14,8,53.85,42,36,33.33,48,96,31.11,14,31,30.56,11,25,-11,-42
1,1,22,1,0,17,2016,20,25,52.6,54.87,53.65,54.55,6,5,50,9,9,51.52,17,16,52.94,9,8,46.15,6,7,50.81,63,61,54.61,77,64,49.66,144,146,53.73,108,93,42.5,34,46,57.89,33,24,74.14,43,15,58.59,75,53,46.53,47,54,44,11,14,62.34,48,29,44.32,39,49,47.68,72,79,46.77,58,66,26.83,11,30,2,69
0,2,14,1,0,18,2016,20,23,49.14,48.93,49.54,50,4,4,57.14,12,9,45.71,16,19,56.25,9,7,50,3,3,71.43,45,18,41.28,90,128,44.36,185,232,39.17,47,73,44,11,14,60.87,14,9,52.04,51,47,52.06,101,93,46.43,26,30,27.27,3,8,63.16,24,14,51.06,72,69,45.42,114,137,24.14,14,44,33.33,8,16,2,-103
0,2,23,1,0,19,2016,20,32,48.33,48.75,48.97,37.5,3,5,46.15,6,7,54.55,18,15,41.18,7,10,41.67,5,7,51.16,22,21,50.44,57,56,45.58,170,203,42.16,86,118,37.61,41,68,66.67,14,7,60,27,18,44.38,75,94,46.28,56,65,45.45,20,24,67.65,23,11,64.71,44,24,42,84,116,36.59,45,78,37.04,20,34,-5,-83
0,0,26,0,0,20,2016,20,25,46.07,45.43,43.68,60,6,4,44.44,8,10,53.57,15,13,53.33,8,7,55.56,5,4,51.75,74,69,51.27,101,96,48.75,156,164,43.15,63,83,37.88,25,41,63.79,37,21,48.75,39,41,54.24,64,54,58.57,41,29,26.92,7,19,56.9,33,25,56.86,58,44,45.78,76,90,44.21,42,53,26.09,12,34,4,-3
0,2,12,1,0,21,2016,20,17,48.17,46.73,45.4,25,2,6,53.33,8,7,52,13,12,68.75,11,5,33.33,3,6,58.1,61,44,64.79,92,50,46.69,169,193,50,84,84,37.36,34,57,55.17,16,13,63.79,37,21,51.57,82,77,60,36,24,42.42,14,19,57.89,33,24,70.79,63,26,50.83,123,119,38.1,40,65,37.5,18,30,1,51
0,2,21,1,0,22,2016,20,24,48.54,48.37,50.46,50,3,3,66.67,8,4,64.52,20,11,50,9,9,81.25,13,3,77.97,46,13,57.55,80,59,53.35,175,153,56.83,104,79,59.6,59,40,83.33,20,4,64.58,31,17,45.59,62,74,50,30,30,55.56,20,16,75.76,25,8,62.5,40,24,55.87,119,94,52.68,59,53,37.7,23,38,23,70
1,3,27,1,0,23,2016,20,24,51.08,52.89,52.61,60,3,2,40,6,9,57.14,16,12,33.33,3,6,75,6,2,65.75,48,25,60.27,88,58,56.93,189,143,45.55,87,104,45.71,32,38,73.68,14,5,62.5,45,27,57.46,77,57,54.02,47,40,58.62,17,12,74.36,29,10,51.55,50,47,54.34,119,100,41.3,57,81,40.48,17,25,3,104
1,1,3,1,0,24,2016,20,27,52.99,54.09,53.96,55.56,5,4,50,6,6,57.69,15,11,64.71,11,6,66.67,8,4,75,27,9,47.24,77,86,55.31,203,164,54.46,55,46,50,61,61,81.82,18,4,61.11,44,28,57.02,65,49,38.1,16,26,51.67,31,29,70.59,12,5,62.65,52,31,54.02,94,80,42,21,29,43.75,28,36,14,61
0,0,17,1,0,25,2016,20,19,51.53,51.02,50.65,12.5,1,7,36.36,4,7,63.33,19,11,54.55,12,10,50,5,5,52.63,20,18,68.24,58,27,54.55,186,155,41.91,101,140,43.66,31,40,50,12,12,47.83,22,24,53.73,72,62,48.42,46,49,34.48,10,19,67.74,21,10,66,33,17,60.67,108,70,38.18,42,68,42.86,12,16,1,28
0,0,18,0,0,26,2016,20,18,48.96,48.92,48.33,38.46,5,8,28.57,4,10,50,13,13,40,6,9,50,5,5,56.86,58,44,51.59,81,76,48.66,163,172,41.76,71,99,47.69,31,34,55.26,21,17,53.57,45,39,54.64,100,83,45.45,35,42,53.85,14,12,72.55,37,14,71.43,70,28,57.29,110,82,42.86,33,44,37.04,10,17,-12,-16
1,3,6,0,0,27,2016,20,20,50.42,52.24,51.55,12.5,1,7,47.06,8,9,43.33,13,17,46.67,7,8,0,0,4,48.81,41,43,50,80,80,44.52,187,233,31.03,45,100,32.89,25,51,57.5,23,17,49.28,34,35,39.39,65,100,48,24,26,32.14,9,19,65.71,23,12,67.39,62,30,53.54,106,92,55.84,43,34,47.62,20,22,-16,-139
1,1,15,0,0,28,2016,20,20,50.91,50.8,50.32,57.14,4,3,70.59,12,5,42.11,16,22,50,8,8,40,2,3,58.73,37,26,56.83,104,79,47.04,199,224,52.34,67,61,50,24,24,60.71,17,11,42.05,37,51,55.76,92,73,48.89,22,23,43.48,10,13,60,18,12,55.64,74,59,46.15,102,119,45.45,25,30,29.17,7,17,1,10
0,2,7,1,0,29,2016,20,29,52.88,51.98,53.31,40,4,6,50,7,7,46.43,13,15,54.55,6,5,55.56,5,4,56.79,46,35,56.83,79,60,52.76,220,197,58.68,71,50,55.56,25,20,47.5,19,21,50,33,33,53.94,89,76,59.09,26,18,37.5,9,15,65,26,14,60.98,50,32,53.36,127,111,40.74,33,48,44.44,8,10,-2,84
1,3,10,1,0,0,2017,82,105,50.1,50.54,50.7,62.5,15,9,53.57,30,26,50,62,62,53.7,29,25,55.56,15,12,56.7,110,84,54.29,310,261,50.11,677,674,49.25,426,439,43.45,126,164,49.35,38,39,59.39,155,106,49.54,322,328,44.87,188,231,41.13,51,73,57.52,65,48,57.49,165,122,50.49,358,351,41.24,200,285,37.93,55,90,17,39
1,3,8,0,0,1,2017,82,70,45.12,44.73,45.48,34.88,15,28,44.16,34,43,48.25,55,59,36.73,18,31,32,8,17,45.14,195,237,48.84,399,418,45.05,655,799,41.48,219,309,35.97,109,194,45.23,109,132,46.88,173,196,42.52,290,392,38.77,88,139,37.5,51,85,62.68,131,78,53.75,215,185,44.43,319,399,39.83,94,142,34.9,52,97,-48,-429
0,0,4,1,0,2,2017,82,95,54.26,54.81,55.56,45.16,14,17,43.4,23,30,53.97,68,58,42.86,27,36,61.29,19,12,63.32,164,95,62.19,375,228,55.16,775,630,50.99,385,370,50.33,151,149,67.5,81,39,62.69,163,97,53.26,327,287,49.36,155,159,46.34,57,66,67.35,99,48,66.46,210,106,52.92,417,371,40.11,144,215,49.69,81,82,-2,409
0,0,25,0,0,3,2017,82,78,47.9,47.74,47.87,43.75,14,18,46.38,32,37,43.1,50,66,45.65,21,25,44.83,13,16,54.69,175,145,50.97,474,456,48.37,696,743,42.9,311,414,34.06,109,211,53.39,63,55,52.72,184,165,49.29,277,285,39.93,117,176,40.74,55,80,51.09,70,67,53.94,226,193,49.27,305,314,40.46,142,209,31.33,47,103,-32,-180
0,2,13,0,0,4,2017,82,87,50.8,49.77,49.93,42.86,12,16,56.34,40,31,44.68,63,78,40.3,27,40,40,10,15,62.79,162,96,57.66,369,271,47.99,788,854,47.69,372,408,47.09,97,109,56.64,64,49,58.36,171,122,50.63,364,355,42.19,154,211,40.86,38,55,54.48,79,66,63.16,216,126,53.59,448,388,46.87,202,229,46.3,50,58,-28,-3
0,2,2,1,0,5,2017,82,108,50.95,50.72,51.18,60,15,10,48,24,26,56.1,69,54,52.11,37,34,67.65,23,11,58.41,132,94,57.4,353,262,50.26,762,754,48.13,386,416,45.59,181,216,55.17,48,39,58.9,139,97,48.01,290,314,44.15,151,191,39.74,60,91,57.89,66,48,61.43,223,140,50.66,385,375,44.61,182,226,37.95,74,121,33,47
1,3,11,1,0,6,2017,82,94,49.86,49.81,50.49,42.86,12,16,53.23,33,29,46.85,52,59,54.72,29,24,68.75,22,10,56.92,148,112,52.5,326,295,51.69,626,585,46.19,291,339,45.49,121,145,60.4,61,40,53.26,147,129,48.17,250,269,42.75,115,154,41.73,53,74,64.89,85,46,56.97,188,142,51.31,371,352,40.58,140,205,40,48,72,10,-16
1,1,1,1,0,7,2017,82,109,50.68,50.31,49.37,62.5,15,9,56.9,33,25,63.16,84,49,49.37,39,40,52.94,18,16,61.32,130,82,57.26,414,309,48.16,759,817,45.28,422,510,37.45,97,162,53.75,43,37,61.13,173,110,49.91,273,274,45.3,164,198,43.02,37,49,63.64,84,48,59.6,208,141,52.29,457,417,45.44,239,287,41.13,58,83,50,-13
1,1,0,0,0,8,2017,82,48,48.05,47.35,46.96,40.82,20,29,38.96,30,47,37.29,44,74,42.22,19,26,38.89,7,11,53.05,270,239,48.41,503,536,46.46,577,665,44.97,201,246,36.84,56,96,54.55,96,80,55.77,227,180,48.25,248,266,43.17,79,104,46.34,38,44,62.25,155,94,57.93,314,228,46.99,281,317,39.23,82,127,41.86,36,50,-67,-162
1,1,28,0,0,9,2017,82,79,50.23,50.62,50.86,38.89,14,22,46.55,27,31,49.62,65,66,54.1,33,28,50,15,15,62.46,208,125,54.56,395,329,52.58,755,681,42.77,272,364,41.08,99,142,64.29,108,60,54.38,180,151,53.68,357,308,38.31,118,190,34.58,37,70,57.54,103,76,55.16,246,200,49.35,416,427,42.16,164,225,37.69,49,81,-8,54
0,0,24,0,0,10,2017,82,79,47.62,47.58,48.09,61.54,24,15,47.89,34,37,42.96,58,77,36.07,22,39,42.11,8,11,60.39,215,141,48.9,400,418,49.37,702,720,44.34,294,369,41.71,83,116,59.01,95,66,46.97,155,175,50.23,324,321,41.02,105,151,43.24,32,42,62.65,104,62,53.23,198,174,48.59,328,347,39.07,118,184,39.53,34,52,-33,-174
1,3,19,1,0,11,2017,82,103,50.42,51.6,51.57,54.55,12,10,56.16,41,32,46.46,59,68,55,33,27,58.33,21,15,61.83,149,92,55.73,418,332,50.38,724,713,49.74,381,385,36.76,100,172,61.17,63,40,59.06,176,122,51.56,297,279,44.64,129,160,46.48,66,76,65.67,88,46,55.15,225,183,47.48,367,406,38.29,152,245,35.36,64,117,14,134
0,0,20,0,0,12,2017,82,81,50.85,50.53,50.03,39.39,13,20,47.27,26,29,47.24,60,67,36.23,25,44,56,14,11,55.79,183,145,54.79,372,307,48.53,794,842,48.95,349,364,39.85,104,157,55.46,66,53,59.53,153,104,51.66,312,292,50.91,140,135,47.78,43,47,61.49,91,57,60.56,172,112,50.98,364,350,45.71,128,152,36.78,32,55,-33,76
1,3,16,0,0,13,2017,82,86,53.69,53.53,54.13,39.39,13,20,47.54,29,32,44.74,51,63,51.11,23,22,63.16,12,7,64.8,243,132,54.29,424,357,55.22,783,635,50.63,242,236,38.89,56,88,60.92,106,68,54.47,201,168,53.82,373,320,50.66,116,113,48.39,30,32,65.28,141,75,59.31,258,177,53,433,384,48.82,124,130,37.5,27,45,-16,310
1,1,29,1,0,14,2017,82,106,50.29,50.78,50.52,60,15,10,55.17,32,26,55.74,68,54,61.45,51,32,46.94,23,26,65.36,117,62,53.8,361,310,51.03,746,716,46.97,388,438,45.9,179,211,54.05,40,34,59.93,169,113,50.17,299,297,41.25,139,198,42.86,69,92,68.42,52,24,53.74,201,173,49.93,369,370,42.69,178,239,35.63,62,112,41,30
0,0,5,1,0,15,2017,82,103,51.67,51.58,50.89,47.37,9,10,51.02,25,24,56.35,71,55,49.21,31,32,76,19,6,58.23,138,99,50.58,390,381,53.05,817,723,46.22,306,356,49.32,145,149,55.14,59,48,58.39,174,124,52.16,314,288,48.62,123,130,58.46,76,54,63.7,86,49,60.86,241,155,52.64,468,421,41.4,166,235,46.31,69,80,28,122
0,2,9,0,0,16,2017,82,70,46.56,46.68,46.84,41.03,16,23,40.3,27,40,42.59,46,62,41.67,20,28,33.33,7,14,54.26,261,220,47.91,310,337,48.12,690,744,42.69,260,349,40.38,86,127,53.85,98,84,50.19,130,129,47.63,281,309,43.33,104,136,48.89,44,46,54.36,106,89,54.31,145,122,44.6,314,390,42,105,145,35.11,33,61,-51,-229
1,1,22,1,0,17,2017,82,94,50.37,50.11,50.56,50,17,17,45.45,30,36,48.33,58,62,57.63,34,25,61.29,19,12,62.59,169,101,56.18,441,344,49.59,726,738,46.38,333,385,46.47,125,144,64.46,78,43,55.12,183,149,47.88,305,332,45.15,135,164,50,69,69,69.23,108,48,60.79,231,149,50.55,370,362,42.96,171,227,47.71,73,80,6,11
0,2,14,0,0,18,2017,82,94,47.87,48.39,49.36,39.13,9,14,62.3,38,23,52,78,72,51.28,40,38,50,16,16,52.63,80,72,54.46,336,281,48.24,711,763,47.45,418,463,37.31,122,205,56,42,33,53.43,148,129,43.55,287,372,39.71,137,208,41.13,58,83,72.97,54,20,52.79,189,169,46.84,400,454,41.67,195,273,36.52,65,113,18,-179
0,2,23,1,0,19,2017,82,102,48.83,49.7,49.35,54.55,18,15,50,33,33,54.62,65,54,52.31,34,31,61.54,24,15,52.54,155,140,55.73,350,278,49.8,738,744,42.97,315,418,39.73,116,176,54.7,64,53,59.66,173,117,47.78,323,353,45.25,138,167,33.33,43,86,56.17,91,71,60,210,140,43.33,315,412,40.28,174,258,32.1,52,110,26,-40
0,0,26,1,0,20,2017,82,98,48.18,48.85,49.49,45.45,10,12,60.32,38,25,44.92,53,65,57.38,35,26,50,15,15,57.94,146,106,52.97,419,372,48.19,705,758,48.31,344,368,46.45,157,181,50.52,49,48,51.69,184,172,45.23,289,350,44.22,130,164,36.43,51,89,64.12,84,47,50.31,241,238,48.77,396,416,36.91,148,253,36.32,73,128,8,-113
0,2,12,0,0,21,2017,82,88,51.31,51.53,51.66,48.65,18,19,46.58,34,39,45.38,54,65,47.92,23,25,57.14,12,9,60.22,165,109,55.3,381,308,50.61,867,846,50.11,230,229,42.38,89,121,65.93,89,46,52.86,157,140,53.86,398,341,45.5,91,109,42.71,41,55,56.84,108,82,59.79,229,154,48.73,500,526,45.59,124,148,31.74,53,114,-16,151
0,2,21,1,0,22,2017,82,111,49.93,50.97,50.53,34.48,10,19,56.9,33,25,54.55,72,60,57.83,48,35,60.47,26,17,57.14,136,102,54.44,362,303,50.51,785,769,48.05,407,440,47.77,150,164,52.63,50,45,54.51,127,106,51.99,288,266,47.56,146,161,48.06,62,67,60.18,68,45,51.87,180,167,48.15,391,421,41.99,173,239,42.54,77,104,33,70
1,3,27,1,0,23,2017,82,99,52.06,52.52,52.43,51.72,15,14,52,26,24,56.78,67,51,50,36,36,59.26,16,11,59.26,112,77,57.37,358,266,52.28,677,618,48.28,337,361,46.65,223,255,66.67,74,37,55.14,161,131,53.13,331,292,48.98,168,175,48.72,114,120,61.07,80,51,57.69,225,165,49.71,426,431,47.38,208,231,36.39,111,194,24,189
1,1,3,1,0,24,2017,82,99,50.19,50.2,50.07,35.48,11,20,50.88,29,28,57.81,74,54,46.67,35,40,51.61,16,15,57.29,110,82,51.97,304,281,51.94,683,632,45.59,362,432,43.13,135,178,58.89,53,37,57.71,131,96,50.63,280,273,42.68,134,180,38.36,61,98,58.04,65,47,55,143,117,52.58,398,359,43.06,186,246,29.21,52,126,8,0
