Conference,Division,Name,Playoffs,SeasonType,Team,Season End,Game,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2,Goal Differential Close,Fenwick Close Differential
1,1,15,0,0,28,2016,82,78,50.88,50.72,50.68,38.24,13,21,52.94,36,32,39.32,46,71,64,32,18,58.62,17,12,59.82,195,131,54.43,393,329,49.78,673,679,48.06,273,295,51.35,171,162,60.96,89,57,46.06,146,171,53.75,287,247,52.53,135,122,45.3,53,64,66.1,117,60,58.82,280,196,49.42,340,348,43.27,119,156,38.82,59,93,-10,64
0,2,7,1,0,29,2016,82,120,50.88,51.17,51.44,40,12,18,66.04,35,18,51.64,63,59,65.52,38,20,55.81,24,19,58.38,108,77,56.95,332,251,50.3,764,755,49.26,332,342,47.95,175,190,54.08,53,45,47.23,111,124,50.39,324,319,47.41,128,142,47.37,90,100,65.56,59,31,58.2,181,130,52.36,444,404,38.94,155,243,37.96,82,134,38,58
1,3,10,1,0,0,2016,60,74,54.16,54.33,53.81,41.18,7,10,50,15,15,56.41,44,34,52.08,25,23,64,16,9,61.44,94,59,59.63,195,132,55,555,454,51.33,251,238,43.85,132,169,61.54,32,20,59.12,94,65,56.95,258,195,51.3,118,112,48.98,72,75,65.38,51,27,55.19,85,69,52.27,276,252,48.39,150,160,33.92,58,113,16,275
1,3,8,0,0,1,2016,60,60,45.49,44.81,44.61,46.43,13,15,34.21,13,25,48.78,40,42,39.02,16,25,50,6,6,51.77,146,136,49.79,239,241,45.41,465,559,40.1,168,251,41.8,51,71,62.26,99,60,50.23,109,108,42.76,198,265,38.33,87,140,29.58,21,50,61.54,96,60,54.86,158,130,44.89,233,286,41.83,110,153,38.81,26,41,-25,-298
0,0,4,0,0,2,2016,60,70,49.93,50.27,51.62,40,8,12,53.33,24,21,51.69,46,43,45.1,23,28,60,15,10,59.35,127,87,57.39,264,196,50.68,600,584,45.29,269,325,35.54,86,156,50,46,46,50.75,101,98,45.56,205,245,43.86,100,128,42.24,49,67,63.54,61,35,53.98,122,104,52.2,296,271,43.68,121,156,36.43,47,82,2,-37
0,0,25,0,0,3,2016,60,55,46.59,46.4,47.39,39.13,9,14,44.68,21,26,45.65,42,50,48.57,17,18,70.83,17,7,52.21,130,119,47.7,301,330,49.87,570,573,38.64,148,235,42.58,89,120,46.6,48,55,45.63,115,137,48.16,235,253,40.74,66,96,43.21,35,46,57.27,63,47,50.9,142,137,46.1,260,304,40.3,81,120,39.18,38,59,-9,-189
0,2,13,0,0,4,2016,60,64,53.85,53.01,53.45,35.29,6,11,55.32,26,21,45.74,43,51,39.53,17,26,50,12,12,62.41,83,50,58.43,246,175,49.75,596,602,45.11,240,292,38.24,65,105,56.9,33,25,53.48,100,87,49.55,277,282,47.17,100,112,43.21,35,46,56.79,46,35,58.8,127,89,54.51,314,262,47.25,129,144,38.16,29,47,-17,9
0,2,2,0,0,5,2016,60,55,47.84,48.74,49.19,46.15,12,14,52.73,29,26,42.22,38,52,62.22,28,17,44,11,14,57.21,115,86,53.21,348,306,50.98,544,523,40,174,261,39.44,71,109,51.9,41,38,49.38,119,122,46.85,208,236,48.73,96,101,49.37,39,40,60.68,71,46,54.87,214,176,45.4,247,297,36.05,93,165,38.61,39,62,-5,-60
1,3,11,0,0,6,2016,60,56,47.71,48.44,49.98,50,12,12,35.56,16,29,48.78,40,42,49.02,25,26,60.71,17,11,51.48,122,115,58.22,294,211,48.05,395,427,44.91,238,292,41.45,97,137,56.56,69,53,52.71,107,96,39.08,145,226,42.25,90,123,40.71,46,67,61.34,73,46,52.38,165,150,46.79,233,265,47.15,149,167,34.18,54,104,-10,-106
1,1,1,1,0,7,2016,60,79,51.78,51.35,51,16.67,2,10,48.28,14,15,60.53,46,30,51.11,23,22,58.62,17,12,58.1,104,75,54.66,129,107,50,519,519,48.08,325,351,41.48,129,182,65.43,53,28,45.36,44,53,51.62,207,194,50.85,119,115,37.07,43,73,68.42,78,36,58.21,78,56,52.73,290,260,41.97,149,206,37.34,59,99,13,4
